[2023-03-13 13:10:36,151 INFO excuteTask start]
[2023-03-13 13:10:41,156 INFO excuteTask start]
[2023-03-13 13:10:46,160 INFO excuteTask start]
[2023-03-13 13:10:51,162 INFO excuteTask start]
[2023-03-13 13:10:56,168 INFO excuteTask start]
[2023-03-13 13:11:01,170 INFO excuteTask start]
[2023-03-13 13:11:06,174 INFO excuteTask start]
[2023-03-13 13:11:11,175 INFO excuteTask start]
[2023-03-13 13:11:16,179 INFO excuteTask start]
[2023-03-13 13:11:21,183 INFO excuteTask start]
[2023-03-13 13:11:26,186 INFO excuteTask start]
[2023-03-13 13:11:31,190 INFO excuteTask start]
[2023-03-13 13:11:36,195 INFO excuteTask start]
[2023-03-13 13:11:41,199 INFO excuteTask start]
[2023-03-13 13:11:46,204 INFO excuteTask start]
[2023-03-13 13:11:51,207 INFO excuteTask start]
[2023-03-13 13:11:56,211 INFO excuteTask start]
[2023-03-13 13:12:01,225 INFO excuteTask start]
[2023-03-13 13:12:06,226 INFO excuteTask start]
[2023-03-13 13:12:11,228 INFO excuteTask start]
[2023-03-13 13:12:16,247 INFO excuteTask start]
[2023-03-13 13:12:21,249 INFO excuteTask start]
[2023-03-13 13:12:26,252 INFO excuteTask start]
[2023-03-13 13:12:31,255 INFO excuteTask start]
[2023-03-13 13:12:36,259 INFO excuteTask start]
[2023-03-13 13:12:44,578 INFO excuteTask start]
[2023-03-13 13:12:49,583 INFO excuteTask start]
[2023-03-13 13:12:54,587 INFO excuteTask start]
[2023-03-13 13:14:57,685 INFO excuteTask start]
[2023-03-13 13:15:01,722 DEBUG message='Request to OpenAI API' method=post path=https://api.openai.com/v1/engines/text-embedding-ada-002/embeddings]
[2023-03-13 13:15:01,722 DEBUG api_version=None data='{"input": ["\\u4f60\\u597d\\u554a"], "encoding_format": "base64"}' message='Post details']
[2023-03-13 13:15:02,690 INFO excuteTask start]
[2023-03-13 13:15:03,498 DEBUG message='OpenAI API response' path=https://api.openai.com/v1/engines/text-embedding-ada-002/embeddings processing_ms=None request_id=ad4b9f1e0e8b0c4c417b7c2566ddba45 response_code=401]
[2023-03-13 13:15:03,498 INFO error_code=invalid_api_key error_message='Incorrect API key provided: sk-xVuOq***************************************6mAS. You can find your API key at https://platform.openai.com/account/api-keys.' error_param=None error_type=invalid_request_error message='OpenAI API error received' stream_error=False]
[2023-03-13 13:15:07,693 INFO excuteTask start]
[2023-03-13 13:15:12,697 INFO excuteTask start]
[2023-03-13 13:15:17,703 INFO excuteTask start]
[2023-03-13 13:15:22,707 INFO excuteTask start]
[2023-03-13 13:15:27,712 INFO excuteTask start]
[2023-03-13 13:15:32,713 INFO excuteTask start]
[2023-03-13 13:15:37,717 INFO excuteTask start]
[2023-03-13 13:15:42,719 INFO excuteTask start]
[2023-03-13 13:15:47,723 INFO excuteTask start]
[2023-03-13 13:15:52,727 INFO excuteTask start]
[2023-03-13 13:15:57,730 INFO excuteTask start]
[2023-03-13 13:16:02,732 INFO excuteTask start]
[2023-03-13 13:16:07,736 INFO excuteTask start]
[2023-03-13 13:16:12,741 INFO excuteTask start]
[2023-03-13 13:16:17,744 INFO excuteTask start]
